Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date_Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P_EGD_3534",3534,"EGD","Nidrie",,,,,,,,,,,,"EGD","03_28_01_13:39:49","EGD","03_28_01_13:40:01"
"P_JO_3538",3538,"JO","Haddington",,,,,"Haddington",,,,,,,"jhm","06_15_01_09:58:58","jhm","06_15_01_09:59:16"
"P_JO_3539",3539,"JO","Haddington",,,,,,,,,,,,"jhm","06_15_01_09:59:27","jhm","06_15_01_09:59:41"
"P_JO_3540",3540,"JO","Dalkeith",,,,,,,,,,,,"jhm","07_03_01_12:43:49","jhm","07_03_01_12:44:24"
"P_JO_3541",3541,"JO","Kinneil",,,,,"Linlithgow",,,,,,,"jhm","07_23_01_16:20:45","jhm","07_23_01_16:21:08"
"P_JO_3542",3542,"JO","Queensferry",,,,,,,,,,,,"jhm","07_24_01_12:24:41","jhm","07_24_01_12:24:45"
"P_JO_3543",3543,"JO","Calder",,,,,,,,,,"Calder_or_Calder_Comitis_(divided_into_Mid-Calder_and_West_Calder_in_1646)_was_part_of_Linlithgow_presbytery_until_1884.",,"jhm","07_24_01_12:48:10","jhm","07_24_01_15:16:15"
"P_JO_3544",3544,"JO","Abercorn",,,,,,,,,,,,"jhm","07_24_01_14:51:22","jhm","07_24_01_14:51:29"
"P_JO_3545",3545,"JO","East_Calder",,,,,,,,,,,"or_Calder_Cler,_divided_from_Mid_and_West_Calder_in_1641.","jhm","07_24_01_15:19:20","jhm","07_24_01_15:20:11"
"P_JO_3546",3546,"JO","Coulter",,,,,,,,,,,,"jhm","07_30_01_09:47:00","jhm","07_30_01_09:47:06"
"P_JO_3547",3547,"JO","Irongray",,,,,"Dumfries",,,,,,,"jhm","10_03_01_10:09:25","jhm","10_03_01_10:09:40"
"P_JO_3548",3548,"JO","Conveth",,,,,,,,,,,"Same_as_Inverkeithny","jhm","10_11_01_09:48:10","jhm","10_11_01_09:48:21"
"P_JO_3549",3549,"JO","Aberdalgie_&_Dupplin",,,,,"Perth",,,,,"Abergaldie_and_Dupplin_united_in_1618",,"jhm","02_19_02_12:18:12","jhm","02_19_02_12:18:39"
"P_JO_3550",3550,"JO","Contin_&_Strathgarve",,,,,"Ross",,,,,,,"jhm","04_02_02_11:12:17","jhm","04_02_02_11:12:29"
"P_JO_3551",3551,"JO","Glenluce",,,,,,,,,,,"was_known_as_Old_Luce","jhm","04_25_02_09:26:21","jhm","04_25_02_09:26:37"
"P_JO_3552",3552,"JO","Stranraer",,,,,,,,,,,"In_Stranraer_presbytery","jhm","04_25_02_09:35:59","jhm","04_25_02_09:36:12"
"P_JO_3553",3553,"JO","Fortrose",,,,,,,,,,,,"jhm","09_05_02_13:33:47","jhm","09_05_02_13:33:56"
"P_JO_3554",3554,"JO","Ecclesgreig",,,,,,,,,,,,"jhm","10_03_02_10:52:45","jhm","10_03_02_10:52:53"
"P_LA_3535",3535,"LA",,,,,,,,,,,,,"LEM","05_17_01_11:52:11","jhm","10_11_01_09:49:48"
"P_LA_3536",3536,"LA","Edinburgh_Grey_Friars",,,,,"Edinburgh","Edinburgh",,,,,,"LEM","05_22_01_15:30:32","LEM","05_22_01_15:30:48"
"P_LA_3537",3537,"LA",,,,,,,,,,,,,"LEM","06_07_01_16:03:43","jhm","09_25_01_12:08:50"
"P_ST_1000",1000,"ST","Kilchousland","KDX",1000,"Morvern","Kintyre",,,"NR",751,220,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1001",1001,"ST","Kildrummy","KDY",1001,"Garioch","Marr",,,"NT",450,160,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1003",1003,"ST","King_Edward","KED",1003,"Garioch","Boyne",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1004",1004,"ST","Keith","KEH",1004,"Strathspey","Strathbogie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1005",1005,"ST","Keig","KEI",1005,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1006",1006,"ST","Kells","KEL",1006,"Rhinns","Glenken",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1007",1007,"ST","Kemnay","KEM",1007,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1008",1008,"ST","Kennethmont","KEN",1008,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1009",1009,"ST","Kelso","KEO",1009,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1010",1010,"ST","Keir","KER",1010,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1011",1011,"ST","Kettins","KET",1011,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1012",1012,"ST","Kilfinan","KFN",1012,"Morvern","Glassary",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1013",1013,"ST","Kirkforthar","KFX",1013,"Merse","Fothriff",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1015",1015,"ST","Kinglassie","KGL",1015,"Merse","Fothriff",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1017",1017,"ST","Kirkgunzeon","KGZ",1017,"Teviotdale",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1018",1018,"ST","Kirkhope","KHP",1018,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1019",1019,"ST","Kirkpatrick_Irongray","KIG",1019,"Teviotdale",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_102",102,"ST","Dalgety","DGY",102,"South_of_Forth","Fife_&_Strathearn",,,"NT",169,838,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1020",1020,"ST","Kirkhill","KIH",1020,"Strathspey","Inverness",,,"NH",549,457,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1021",1021,"ST","Killin","KIL",1021,"South_of_Forth","Atholl_&_Drumalbane",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1022",1022,"ST","Kingussie&_Insh","KIN",1022,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1023",1023,"ST","Kirkden","KIR",1023,"Merse","Angus",,,"NO",530,470,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1024",1024,"ST","Kintail","KIT",1024,"Ross",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1025",1025,"ST","Kilblane","KIX",1025,"Morvern","Kintyre",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1026",1026,"ST","Kilmore&_Kilbride","KKB",1026,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1027",1027,"ST","Killean_&_Kilchenzie","KKC",1027,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1028",1028,"ST","Kilninian_&_Kilmore","KKE",1028,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1029",1029,"ST","Kirkmabreck","KKK",1029,"Rhinns","Desnes",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1030",1030,"ST","Keithhall_&_Kinkell","KKL",1030,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1031",1031,"ST","Killarrow_&_Kilmeny","KKM",1031,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1032",1032,"ST","Kirkinner","KKR",1032,"Rhinns","Farines",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1033",1033,"ST","Kilninver_&_Kilmelfort","KKT",1033,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1034",1034,"ST","Kilfinichen_&_Kilvickeon","KKV",1034,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1035",1035,"ST","Kinkell","KKX",1035,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1036",1036,"ST","Kinloch","KLC",1036,"South_of_Forth","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1037",1037,"ST","Kilmallie","KLE",1037,,"Morvern",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1039",1039,"ST","Kilmany","KLM",1039,"Merse","Fife",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1040",1040,"ST","Killearn","KLN",1040,"Teviotdale","Lennox",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1041",1041,"ST","Kilmorack","KLO",1041,"Ross",,,,"NH",491,444,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1042",1042,"ST","Kilmuir_(Skye)","KLR",1042,"Isles",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1043",1043,"ST","Kinnettles","KLS",1043,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1044",1044,"ST","Kilbrandon","KLX",1044,"Morvern","Lorn",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1045",1045,"ST","Kilmadock","KMA",1045,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1046",1046,"ST","Kemback","KMB",1046,"Merse","Fife",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1047",1047,"ST","Kirkmichael","KMC",1047,"Teviotdale","Nithsdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1048",1048,"ST","Kilmodan","KMD",1048,"Morvern","Glassary",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1049",1049,"ST","Kilmuir_Easter","KME",1049,"Ross",,,,"NH",757,732,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1050",1050,"ST","Kilmichael_Glassary","KMG",1050,"Morvern","Glassary",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1051",1051,"ST","Kirkmahoe","KMH",1051,"Teviotdale","Nithsdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1052",1052,"ST","Kilmarnock","KMK",1052,"Teviotdale",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1053",1053,"ST","Kirkmichael","KML",1053,"Teviotdale","Carrick",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1054",1054,"ST","Kilmacolm","KMM",1054,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1055",1055,"ST","Kirkmaiden","KMN",1055,"Rhinns","Rhinns",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1056",1056,"ST","Kilmaronock","KMO",1056,"Teviotdale","Lennox",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1057",1057,"ST","Kilmartin","KMR",1057,"Morvern",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1058",1058,"ST","Kilmonivaig","KMV",1058,"Morvern","Morvern",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1059",1059,"ST","Kilmory_(Arran)","KMY",1059,"Isles",,,,"NR",960,210,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1060",1060,"ST","Kinnaird","KNA",1060,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1061",1061,"ST","Knockbain","KNB",1061,,,,,"NH",,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1062",1062,"ST","Kinclaven","KNC",1062,"South_of_Forth","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1063",1063,"ST","Kinfauns","KNF",1063,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1064",1064,"ST","Kingarth","KNG",1064,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1065",1065,"ST","Kinellar","KNL",1065,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1066",1066,"ST","Kenmore","KNM",1066,"South_of_Forth","Atholl_&_Drumalbane",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1067",1067,"ST","Kirknewton","KNN",1067,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
